date,usa_weekly_s_avg_c,expected_usa_weekly_s_avg_c,shock_usa_weekly_s_avg_c,zscore_usa_weekly_s_avg_c,usa_weekly_w_avg_c,expected_usa_weekly_w_avg_c,shock_usa_weekly_w_avg_c,zscore_usa_weekly_w_avg_c
2020-08-16,25.27290832212885,24.230852997478994,1.042055324649855,1.6613998861181163,25.75039069728235,24.84097503601143,0.9094156612709199,1.5498588298289082
2020-08-23,24.454899523809527,24.25615289747899,0.19874662633053575,0.18360774176143452,25.005204522436365,24.7851109833669,0.22009353906946671,0.21058449238889465
2020-08-30,24.838378410364147,23.773482578991597,1.0648958313725494,1.1118231928777087,25.527138674248874,24.49922487691746,1.027913797331415,1.098394737411184
2020-09-06,23.3642129789916,22.71774952997199,0.6464634490196097,0.6983454160307712,24.405029208371424,23.760435085657168,0.6445941227142562,0.7537793892168423
2020-09-13,20.46788983089636,21.133929668868348,-0.6660398379719865,-0.8240830857121885,22.44325262526174,22.221690473273675,0.2215621519880635,0.43763619096800344
2020-09-20,19.26880586694678,19.91843826072829,-0.6496323937815092,-0.7159347800556519,20.5129384531466,21.032290421359228,-0.5193519682126286,-0.6201414839596263
2020-09-27,19.341506749579832,19.014517903809526,0.3269888457703054,0.2755148091660855,20.15626571211982,20.0159064607546,0.14035925136521854,0.12939376030112082
2020-10-04,16.533319276190475,17.617778811428572,-1.0844595352380964,-0.7053048560951921,18.139581146359507,19.048493365284486,-0.9089122189249785,-0.6018051423101525
2020-10-11,17.949320538935574,16.237252372795517,1.7120681661400567,1.254148196979509,19.102680531973597,17.742004350423898,1.3606761815496995,1.1536193482972084
2020-10-18,14.623451060308124,13.798475506438654,0.8249755538694696,0.8483996468106182,17.16479910370148,15.449313147870848,1.7154859558306317,1.376673119426828
2020-10-25,13.149513061333334,13.510295138257144,-0.3607820769238099,-0.31686834820822585,16.05500822576011,15.722934796815906,0.3320734289442022,0.2825457626033185
2020-11-01,9.33246128379832,10.951666506010644,-1.619205222212324,-0.5969047152019219,12.36699508630013,13.127722808158907,-0.7607277218587765,-0.2764668484631021
2020-11-08,12.651759835210084,11.269932096239216,1.381827738970868,1.0185973210624641,14.125309535727268,13.522953054258284,0.6023564814689841,0.4538613709546778
2020-11-15,10.638361245630252,8.170551866390477,2.4678093792397746,0.7347593813213132,13.5476738613623,10.637428702237163,2.9102451591251377,0.8900764142695883
2020-11-22,8.652588451568628,6.953344775618055,1.699243675950573,1.1720217174982117,10.915194440744992,9.356142275696845,1.559052165048147,1.1679090146590723
2020-11-29,7.64361900337535,5.974900589337254,1.6687184140380955,1.0205076424972006,10.41247519299866,8.70107064248621,1.7114045505124498,1.2934841699171535
2020-12-06,4.632461227862746,5.174507285982633,-0.5420460581198876,-0.35643157197108366,6.836676564732928,7.731370244755416,-0.8946936800224883,-0.5026242032885999
2020-12-13,5.077495100896359,4.615805106780225,0.4616899941161341,0.2963467266594746,7.559146926717905,7.2653204971280925,0.29382642958981275,0.19971958143771001
2020-12-20,1.7093053568955183,2.570304425830958,-0.8609990689354399,-0.2451828543716725,4.277792152629852,5.279832377003534,-1.0020402243736823,-0.3239098169338779
2020-12-27,3.4800336103809526,4.681864845755574,-1.2018312353746214,-1.6179575438953544,5.5752137755213855,7.309202334054008,-1.733988558532623,-1.3866773518536688
2021-01-03,3.323439346529412,3.323439346529412,0.0,0.0,6.064388646467539,6.064388646467539,0.0,0.0
2021-01-10,2.4863127653193278,2.9756841147142854,-0.48937134939495763,-0.2329497784105295,4.627852731586839,5.7015904294523425,-1.0737376978655035,-0.5183151023005315
2021-01-17,3.420083804089636,2.0174956915306255,1.4025881125590107,0.6133010112893534,5.495730202018659,4.716652724455296,0.7790774775633631,0.3471630725419806
2021-01-24,2.6195761315078427,0.8393959928453033,1.7801801386625393,0.5772414980931094,5.4378399488211135,3.827359247179462,1.6104807016416514,0.5272312149858754
2021-01-31,1.2928195545882353,0.9684692838559757,0.3243502707322595,0.10458605352875673,4.143496173317111,3.656231021451363,0.4872651518657478,0.1501360988499026
2021-02-07,1.2226865472268906,2.328058284736788,-1.1053717375098973,-0.5198559392451961,3.790596960107851,4.969513635608773,-1.178916675500922,-0.6564656077569465
2021-02-14,-2.874500673240896,3.3565285214466853,-6.231029194687581,-1.976259242574889,1.4426943605140388,6.317845367747853,-4.875151007233814,-1.932703956601239
2021-02-21,-2.1078514844117646,2.247341241730299,-4.3551927261420635,-1.6372222151723363,0.9780608418369884,5.211233909082288,-4.233173067245299,-1.7988187756010767
2021-02-28,5.974250509039216,3.4805238482028478,2.493726660836368,0.836634881614226,8.925268881324289,6.5025712990654485,2.4226975822588406,0.8367652804339435
2021-03-07,4.964312346056022,6.464399886999534,-1.500087540943512,-1.0544527581576633,6.921974192976755,8.802041552422393,-1.880067359445638,-1.2744416396916076
2021-03-14,9.000761916694676,7.013346569681793,1.9874153470128837,1.1059212405882095,10.854955028865977,9.393652272000704,1.4613027568652726,0.9589348555460798
2021-03-21,7.163378683428571,8.584177964164333,-1.4207992807357614,-0.6150164974919481,9.051290300352552,10.742417021221897,-1.6911267208693452,-0.77078569638509
2021-03-28,11.199472192521007,8.882382493842156,2.317089698678851,1.5287010200757665,13.51118846581404,11.136697859595396,2.374490606218645,1.5541166930654997
2021-04-04,9.633815280109244,9.80173164969888,-0.1679163695896353,-0.11711767522955759,11.372308853175998,11.867752323512805,-0.4954434703368076,-0.370031449858398
2021-04-11,13.878388103753505,11.056954587832868,2.8214335159206367,1.7600375399081265,15.736493973499751,13.266206327892293,2.470287645607458,1.51377030515325
2021-04-18,11.021764481372548,12.438182187485062,-1.4164177061125134,-0.8359206850991375,13.248681748949895,14.258670570936388,-1.009988821986493,-0.7027430678893718
2021-04-25,10.800831961204482,12.161476238406628,-1.3606442772021463,-0.6757377419745186,12.649820339682051,14.134800571043689,-1.4849802313616376,-0.7787503562500031
2021-05-02,16.358254963865544,14.197306245298785,2.1609487185667593,1.3067809197753029,17.762052234335414,15.748842356788472,2.0132098775469416,1.2677395475038922
2021-05-09,14.881194934453784,15.608384317600375,-0.727189383146591,-0.75272665223537,16.425963953273264,17.01350355899507,-0.5875396057218047,-0.48921001680854104
2021-05-16,15.312299010784312,16.567396506746032,-1.2550974959617207,-0.6223061043445484,16.265063462331636,17.822911897050876,-1.55784843471924,-0.8761442902147899
2021-05-23,19.636616447759103,18.412283618043887,1.224332829715216,0.8400695070115869,20.418104177968942,19.476589905576926,0.9415142723920162,0.6727647073649538
2021-05-30,18.667831382913164,18.4086226213352,0.2592087615779626,0.2360799642528299,19.878573127286668,19.528037887684263,0.3505352396024044,0.3693371590995475
2021-06-06,21.528236542016806,20.418256272066603,1.1099802699502028,1.1473981538759135,21.622666834456076,21.04322529996676,0.579441534489316,0.7284300421583988
2021-06-13,23.528691658263305,22.160589285434174,1.3681023728291315,1.2203766317478744,23.68895318444598,22.633456178237967,1.0554970062080145,1.0016787867586896
2021-06-20,24.185676766106443,22.647707585434173,1.5379691806722704,1.0926125373700102,24.267888644996727,23.27773513224873,0.9901535127479981,0.8232470123269675
