,date,daylight_duration,sunshine_duration,rain_sum,showers_sum,snowfall_sum,precipitation_hours,shortwave_radiation_sum,et0_fao_evapotranspiration,temperature_2m_mean,dew_point_2m_mean,cloud_cover_mean,leaf_wetness_probability_mean,precipitation_sum,relative_humidity_2m_mean,pressure_msl_mean,surface_pressure_mean,wind_gusts_10m_mean,wind_speed_10m_mean,apparent_temperature_mean,date_anomaly_score,date_anomaly_flag,daylight_duration_anomaly_score,daylight_duration_anomaly_flag,sunshine_duration_anomaly_score,sunshine_duration_anomaly_flag,rain_sum_anomaly_score,rain_sum_anomaly_flag,showers_sum_anomaly_score,showers_sum_anomaly_flag,snowfall_sum_anomaly_score,snowfall_sum_anomaly_flag,precipitation_hours_anomaly_score,precipitation_hours_anomaly_flag,shortwave_radiation_sum_anomaly_score,shortwave_radiation_sum_anomaly_flag,et0_fao_evapotranspiration_anomaly_score,et0_fao_evapotranspiration_anomaly_flag,temperature_2m_mean_anomaly_score,temperature_2m_mean_anomaly_flag,dew_point_2m_mean_anomaly_score,dew_point_2m_mean_anomaly_flag,cloud_cover_mean_anomaly_score,cloud_cover_mean_anomaly_flag,leaf_wetness_probability_mean_anomaly_score,leaf_wetness_probability_mean_anomaly_flag,precipitation_sum_anomaly_score,precipitation_sum_anomaly_flag,relative_humidity_2m_mean_anomaly_score,relative_humidity_2m_mean_anomaly_flag,pressure_msl_mean_anomaly_score,pressure_msl_mean_anomaly_flag,surface_pressure_mean_anomaly_score,surface_pressure_mean_anomaly_flag,wind_gusts_10m_mean_anomaly_score,wind_gusts_10m_mean_anomaly_flag,wind_speed_10m_mean_anomaly_score,wind_speed_10m_mean_anomaly_flag,apparent_temperature_mean_anomaly_score,apparent_temperature_mean_anomaly_flag
168,2024-01-21,23290.021,14808.995,0.0,0.0,0.02,0.2857143,1.4742857,0.14887471,-13.111487,-17.339762,22.470236,0.0,0.028571429,71.60307,1021.8608,1012.11426,13.615714,8.071207,-17.956415,0.10282870175309405,1,0.024248250340862976,1,0.1907702514723162,1,0.24017385355456333,1,0.0,1,0.13740954263994365,1,0.009267527837950373,1,0.1496241672752771,1,0.17764319073397217,1,0.14031476869781645,1,0.08975316194398664,1,0.016707793128522885,1,0.17192137499684745,1,0.07690165093312196,1,0.2128814579984935,1,0.19415576700296655,1,0.18533494113562432,1,0.2573609535099236,1,0.2473837039427545,1,0.12657931413987356,1
169,2024-01-28,25334.062,15815.187,0.0,0.0,0.060000002,0.5714286,1.9585714,0.118907675,-21.170118,-26.352558,20.95238,0.0,0.08571429,63.909065,1000.2108,990.3686,13.919999,7.8078284,-26.306826,0.10186485012190305,1,0.0206548513953545,1,0.17585392450872817,1,0.24017385355456333,1,0.0,1,0.17104716491802313,1,0.05100576206899554,1,0.1417023693903991,1,0.18848754289301944,1,-0.004577855849543622,-1,-0.040420217661913616,-1,-0.001852875241817431,-1,0.17192137499684745,1,0.10872406899040082,1,0.17968775174013574,1,0.17327821678527322,1,0.17479579650154908,1,0.25805418050370627,1,0.22869883973549682,1,-0.008185125209037025,-1
170,2024-02-04,27532.277,13630.333,0.014285714,0.0,2.0399997,8.142858,2.2271428,0.077437684,-22.846605,-25.802261,53.011906,2.4547617,2.9285717,77.28282,1005.40656,995.4394,14.547857,7.3384814,-27.858072,0.10416784918216188,1,0.028681652019648785,1,0.16677179227949068,1,0.23329705852779392,1,0.0,1,0.048176090073220434,1,0.11276562957023029,1,0.11404730935459306,1,0.12748141683610836,1,-0.05498936833434409,-1,-0.0025595551726933508,-1,0.11702957882061227,1,0.13276707539404725,1,0.16049415650288068,1,0.23992373207393158,1,0.2190851219196055,1,0.2234677459927637,1,0.24095208949741215,1,0.23599750337037845,1,-0.050397836460784995,-1
171,2024-02-11,29847.604,13075.733,0.0,0.0,0.48,2.7142856,2.8142858,0.27655083,-6.139167,-9.183512,87.86309,0.4940476,0.6857143,79.51714,1003.46436,994.14124,16.853573,8.52678,-10.54551,0.10523584932664093,1,0.03650159942517306,1,0.16889438133401063,1,0.24017385355456333,1,0.0,1,0.17650310197506686,1,0.10288336273979376,1,0.11283415016741827,1,0.13765713757050763,1,0.1894333668913914,1,0.1729245818888407,1,0.20734823411944475,1,0.12812008510101297,1,0.17317772705533901,1,0.23695066135366977,1,0.21425645362531165,1,0.21271096996676359,1,0.24706637701850492,1,0.22952329912673308,1,0.18935962948101703,1
172,2024-02-18,32266.434,14657.347,0.08571429,0.0,0.14,2.0,3.5785713,0.5676778,-2.6534524,-10.141846,62.142857,0.95951015,0.2857143,58.852657,1012.4047,1003.1201,12.589286,7.3214655,-6.9102616,0.10515779698901662,1,0.0463670233298627,1,0.18700714894249504,1,0.16514569012673563,1,0.0,1,0.13877889337004123,1,0.060219771872755734,1,0.15383437231712832,1,0.15431923027986794,1,0.20639381190151151,1,0.1915552325688581,1,0.1694572882970945,1,0.08688839418892835,1,0.12254420019815299,1,0.156732333084309,1,0.2547791471591755,1,0.24538589102638952,1,0.2316382603060791,1,0.23760749344276483,1,0.18993380312126185,1
173,2024-02-25,34689.69,6856.4507,0.8285713,0.0,3.3300002,11.571428,3.3957143,0.5134001,-1.6980951,-5.3983927,83.48214,7.7532296,5.585714,76.59266,1003.89825,994.7209,20.738571,9.6462965,-5.857982,0.10639205958310843,1,0.03633317469478892,1,0.10646677637441948,1,0.12936878724895734,1,0.0,1,0.03288244232248283,1,0.033022940067618745,1,0.15556658623805125,1,0.1467234385980215,1,0.231143927138167,1,0.21312879472022783,1,0.21756794582287864,1,0.06927354892628035,1,0.08413218257686517,1,0.23705457602793784,1,0.20236892068014617,1,0.21317027667999833,1,0.11946664072370361,1,0.12483866430869961,1,0.21044754315202763,1
174,2024-03-03,37136.027,21890.365,0.0,0.0,0.089999996,1.2857143,6.797143,0.4524472,-14.5013685,-19.882618,62.345238,0.0,0.12857144,64.49618,1007.1888,997.5298,23.987143,11.926862,-20.026041,0.09955465460359902,1,0.031997541642996175,1,0.1478297304728881,1,0.24017385355456333,1,0.0,1,0.13311711229997414,1,0.057740035542738655,1,0.15428749650677592,1,0.1543129008075994,1,0.09483483158672057,1,0.03302493256066796,1,0.164834908762034,1,0.17192137499684745,1,0.11607393178870301,1,0.2316322089205497,1,0.24579203678438072,1,0.23167784658250923,1,0.05083662407468803,1,-0.029691280373359996,-1,0.09250348839146894,1
175,2024-03-10,39612.133,17704.03,0.0,0.0,0.57000005,4.285714,7.0385714,0.5348297,-6.6415477,-9.728453,87.63096,0.0,0.8142857,79.34682,1000.3482,991.0374,13.026428,6.956971,-10.852923,0.10053194246623826,1,0.03737655735169387,1,0.17926535253673537,1,0.24017385355456333,1,0.0,1,0.15213066651017293,1,0.1147852878844412,1,0.14750353477547723,1,0.1461660902613624,1,0.22022483790385594,1,0.19600202254122495,1,0.2113152754977674,1,0.17192137499684745,1,0.15651493569699637,1,0.2447233567672386,1,0.17870231033501782,1,0.17912592382393855,1,0.2156653936828547,1,0.25947637758934006,1,0.19539426429501155,1
176,2024-03-17,42058.332,25154.092,0.014285714,0.0,0.47000006,3.857143,8.184286,0.7290238,-4.810298,-8.722798,77.92857,0.0,0.6857142,75.15861,1000.71246,991.46124,15.690001,7.8370314,-9.064137,0.10015861366081846,1,0.03391044737868398,1,0.17204943531189937,1,0.23329705852779392,1,0.0,1,0.1652416083693854,1,0.11615756890788359,1,0.13568511154830093,1,0.11937022475974024,1,0.21545160108174244,1,0.16150975529980272,1,0.20425337546175487,1,0.17192137499684745,1,0.17317772705533901,1,0.22763735965644133,1,0.1916120369378015,1,0.18723675739126033,1,0.25540016929361303,1,0.22486113739172486,1,0.1938538909283664,1
177,2024-03-24,44517.184,19434.982,0.15714288,0.0,0.20000003,2.7142856,8.612857,0.89824325,0.3272024,-2.832619,85.38096,5.122444,0.44285712,80.47628,1017.1077,1007.88086,10.349999,5.080907,-2.919299,0.10355220839337803,1,0.03940512187347911,1,0.16659207487349303,1,0.1618031857147063,1,0.0,1,0.15604697160093217,1,0.10288336273979376,1,0.14191301496389785,1,0.13525407516929566,1,0.20702601455430597,1,0.17835436496184404,1,0.20064166265413147,1,0.08447908513524705,1,0.1523689088989444,1,0.25214793330247126,1,0.2044123384969348,1,0.21588098366867253,1,0.07503123041725179,1,0.21734556869270727,1,0.1913795326244181,1
