,date,daylight_duration,sunshine_duration,rain_sum,snowfall_sum,precipitation_hours,shortwave_radiation_sum,et0_fao_evapotranspiration,temperature_2m_mean,dew_point_2m_mean,cloud_cover_mean,leaf_wetness_probability_mean,precipitation_sum,relative_humidity_2m_mean,pressure_msl_mean,surface_pressure_mean,wind_gusts_10m_mean,wind_speed_10m_mean,apparent_temperature_mean,date_anomaly_score,daylight_duration_anomaly_score,sunshine_duration_anomaly_score,rain_sum_anomaly_score,snowfall_sum_anomaly_score,precipitation_hours_anomaly_score,shortwave_radiation_sum_anomaly_score,et0_fao_evapotranspiration_anomaly_score,temperature_2m_mean_anomaly_score,dew_point_2m_mean_anomaly_score,cloud_cover_mean_anomaly_score,leaf_wetness_probability_mean_anomaly_score,precipitation_sum_anomaly_score,relative_humidity_2m_mean_anomaly_score,pressure_msl_mean_anomaly_score,surface_pressure_mean_anomaly_score,wind_gusts_10m_mean_anomaly_score,wind_speed_10m_mean_anomaly_score,apparent_temperature_mean_anomaly_score
15,2021-02-14,31143.084,15448.714,0.014285714,0.41000006,3.2857144,3.4414287,0.29531005,-13.180238,-18.581131,47.363094,0.0,0.59999996,64.95622,1022.1446,1012.3916,16.302856,8.896126,-18.18796,0.05652422694179415,0.04280558917313215,0.17292035859313415,0.23329705852779392,0.18890497914409415,0.10854140963892456,0.16052153177620848,0.15843718059410694,0.14678779527639518,0.08442055929722625,0.1021617091783652,0.17192137499684745,0.16191979424073427,0.22281047273112092,0.18440556544407083,0.17764218222362982,0.2573616681967454,0.19314153546472207,0.11927587779805204
16,2021-02-21,33545.105,12082.3125,0.0,1.05,5.142857,3.4214284,0.29321232,-9.803154,-13.58619,72.48214,0.0,1.4857143,74.50666,999.07855,989.6666,17.522142,8.853215,-14.485528,0.0609884216309442,0.02986606464635433,0.1492843460149974,0.24017385355456333,0.16203370791850558,0.12530449430030416,0.15832010427856374,0.15678469446532067,0.1935884411556979,0.12318609424734794,0.19432608783388383,0.17192137499684745,0.17932522582378296,0.22351495364661916,0.1890193871011998,0.2051630247175687,0.23056228304180032,0.22043213983212828,0.18825999915236546
17,2021-02-28,35990.863,12660.592,0.0,1.28,7.857143,3.7257142,0.32345942,-7.45881,-10.316548,82.559525,0.0,1.8142856,80.518456,1006.2833,996.8866,18.602142,8.697999,-11.918427,0.0650431571270178,0.030111344518848338,0.1579960178199873,0.24017385355456333,0.1327989591240596,0.10017899463345659,0.13145338531670636,0.13181337343406457,0.21769473645234838,0.19151861814586524,0.22842812357625386,0.17192137499684745,0.169698291771063,0.2514246160548032,0.23514991961254178,0.21238734614758914,0.22208771903083036,0.2065170289772763,0.20793592990308374
18,2021-03-07,38462.965,27604.396,0.0,0.64,2.5714285,7.16,0.43962002,-11.169524,-14.908809,51.07738,0.0,0.9142857,74.741844,1001.15594,991.6777,12.887143,6.591029,-15.690176,0.07042561978147188,0.030585641480499248,0.14843533083427907,0.24017385355456333,0.12852287804290274,0.11702275159828368,0.14239433936976387,0.14071549250988513,0.15399508257052352,0.14082040414066932,0.1166495940916984,0.17192137499684745,0.15569415092011685,0.23157214294979467,0.22616024207398905,0.19356331992442205,0.21650640506398,0.25359485681368693,0.15011484227284355
19,2021-03-14,40905.164,17468.863,0.057142854,1.3000003,7.571429,7.531429,0.5801824,-9.733512,-15.219523,57.17262,0.0,1.8857142,65.64479,1017.18097,1007.6006,21.544285,10.58604,-14.7778635,0.07385743707191161,0.019622015858066333,0.17953409842794532,0.14778447416488644,0.1449434940572748,0.10175590521078226,0.15177099407636385,0.13484113222898392,0.19274098155557529,0.1336963148329101,0.09974453379944004,0.17192137499684745,0.1627339778263438,0.19842669188250955,0.19539964613092708,0.2077441706250086,0.06897037092473424,0.11846995684997486,0.18169502917407993
20,2021-03-21,43370.133,29151.535,0.0,0.32000002,4.142857,10.518571,0.6507553,-10.898096,-15.316846,49.089287,0.0,0.4571429,71.14996,1006.0708,996.5558,15.1285715,7.1660953,-15.52165,0.07348231504791047,0.021249836090802887,0.15676819106815698,0.24017385355456333,0.1612792330253645,0.13349680267878977,0.11330065355159558,0.1132463351004972,0.1413822334935425,0.13368154607113214,0.11503160603389473,0.17192137499684745,0.15184852339846666,0.20343740737358473,0.23584675927010706,0.22894680221736585,0.25898243050659786,0.26060943519871976,0.16463877686040906
21,2021-03-28,45840.023,30344.309,0.014285713,1.09,3.5714285,11.265715,0.9211754,-5.8370833,-10.83381,65.78571,0.0,1.5428572,69.507515,1014.0762,1004.6655,14.361429,6.724887,-10.078599,0.07376030544002454,0.031079054321533572,0.1646289543664216,0.23329705852779392,0.14641578507992703,0.1066201388903254,0.1317399323099458,0.12616669197369906,0.18030529246169819,0.17898467805273194,0.17376810737205667,0.17192137499684745,0.18262986867011471,0.22794864240873197,0.2484338868956566,0.2420185474522603,0.23310329429650256,0.2529010511128314,0.17118408519040507
22,2021-04-04,48280.688,23820.36,0.15714286,0.71000004,4.857143,10.248571,1.0310535,-2.6980953,-7.1400595,71.64881,0.0,1.1714287,72.961685,1009.81903,1000.55597,20.175,9.114339,-6.9637337,0.07661444351954705,0.020187372483177812,0.177711712940108,0.1618031857147063,0.12761391139111633,0.12278783872498616,0.11989878845729518,0.16072388180428082,0.20216140492255757,0.19005034217681904,0.18740055983775666,0.17192137499684745,0.14881946336063667,0.22980100278473475,0.2593384012818056,0.25153241407093024,0.15360108042272191,0.19041807525749088,0.18611849789145585
23,2021-04-11,50747.066,36215.29,0.11428572,0.31,3.0,15.697144,1.1510155,-8.765357,-15.521904,43.351192,0.0,0.55714285,60.240093,1017.9279,1008.3755,28.497854,12.968087,-14.175733,0.0742933549482725,0.024876314480037243,0.13384403669891742,0.16617185496987352,0.16155485950811865,0.10768934646162126,0.1373350217670894,0.13114418499254799,0.1885038188312933,0.12232714707503378,0.11700697147905248,0.17192137499684745,0.152755391126555,0.14173602111979533,0.2073419120443355,0.20836182488429822,-0.11792590530666314,-0.040661505408495224,0.201268513245978
24,2021-04-18,53206.348,30809.168,0.57142866,0.22000001,5.285714,14.7699995,1.820627,2.6316667,-3.2507737,68.36309,12.1164465,0.88571435,67.26524,1020.3536,1011.17444,14.275714,6.6690164,-0.8631152,0.07300204536394328,0.027195342877753825,0.14694779946638037,0.16447514402329017,0.1599660906210013,0.13130132062556654,0.13961688840189168,0.09219192820083721,0.18148562938159385,0.15063805256510965,0.20076268806603947,0.045043490610872094,0.14768018636798919,0.1979853441447728,0.15726818399975095,0.17502935195762592,0.23739966981643607,0.2567774903583614,0.17285652484897268
