date,usa_weekly_s_avg_c,usa_weekly_w_avg_c
2020-01-05,5.120060519098039,7.606762804851208
2020-01-12,4.330669668535014,7.475659195461074
2020-01-19,2.936236990730812,6.7256534805537544
2020-01-26,1.9194418932717088,4.476106626163041
2020-02-02,3.914364909585434,6.397632157284136
2020-02-09,3.7716827230756307,6.560581939226203
2020-02-16,2.8982875631036413,6.016354488665272
2020-02-23,3.197674934173669,6.170038821838249
2020-03-01,4.439277346669468,6.940338219137046
2020-03-08,7.861266205742297,9.859619865817635
2020-03-15,9.180080420084035,11.842556947897316
2020-03-22,8.625738586330533,11.065342077461594
2020-03-29,10.59609347022409,12.735578142019472
2020-04-05,9.68617857929972,11.950579910975124
2020-04-12,12.068064709159662,13.867162215307246
2020-04-19,8.897622324546218,11.134412254603133
2020-04-26,12.707805554005603,14.503246789973534
2020-05-03,15.53109566302521,16.558578461167105
2020-05-10,13.291413069467788,15.124054347816498
2020-05-17,15.72481076834734,17.110792698532244
2020-05-24,17.679771102240895,18.733944445860406
2020-05-31,20.627168492997196,21.07181645778685
2020-06-07,22.550370854341736,22.87222495567786
2020-06-14,21.812071514005602,22.804065926557573
2020-06-21,22.300925400560224,22.442574756213208
2020-06-28,23.96316857703081,24.05050845097642
2020-07-05,24.61570133053221,25.14280050579341
2020-07-12,25.73849519887955,26.22174027279623
2020-07-19,25.7494603977591,25.949370859160563
2020-07-26,25.81768537815126,25.677246839661667
2020-08-02,25.670573983193275,25.78977201173368
2020-08-09,24.396116691876752,24.527387534393768
2020-08-16,25.27290832212885,25.75039069728235
2020-08-23,24.454899523809527,25.005204522436365
2020-08-30,24.838378410364147,25.527138674248874
2020-09-06,23.364212978991596,24.405029208371424
2020-09-13,20.467889830896357,22.44325262526174
2020-09-20,19.26880586694678,20.512938453146596
2020-09-27,19.341506749579832,20.15626571211982
2020-10-04,16.533319276190475,18.139581146359507
2020-10-11,17.949320538935574,19.102680531973594
2020-10-18,14.623451060308124,17.16479910370148
2020-10-25,13.149513061333334,16.05500822576011
2020-11-01,9.33246128379832,12.36699508630013
2020-11-08,12.651759835210084,14.125309535727267
2020-11-15,10.638361245630252,13.5476738613623
2020-11-22,8.652588451568628,10.915194440744992
2020-11-29,7.64361900337535,10.41247519299866
2020-12-06,4.632461227862746,6.836676564732928
2020-12-13,5.077495100896359,7.559146926717905
2020-12-20,1.7093053568955183,4.277792152629852
2020-12-27,3.4800336103809526,5.5752137755213855
2021-01-03,3.323439346529412,6.064388646467539
2021-01-10,2.4863127653193273,4.627852731586839
2021-01-17,3.4200838040896357,5.495730202018659
2021-01-24,2.6195761315078427,5.4378399488211135
2021-01-31,1.2928195545882353,4.143496173317111
2021-02-07,1.2226865472268906,3.790596960107851
2021-02-14,-2.874500673240896,1.4426943605140388
2021-02-21,-2.1078514844117646,0.9780608418369884
2021-02-28,5.974250509039216,8.925268881324289
2021-03-07,4.964312346056022,6.921974192976755
2021-03-14,9.000761916694676,10.854955028865975
2021-03-21,7.163378683428571,9.051290300352552
2021-03-28,11.199472192521009,13.511188465814039
2021-04-04,9.633815280109244,11.372308853175998
2021-04-11,13.878388103753503,15.736493973499753
2021-04-18,11.021764481372548,13.248681748949895
2021-04-25,10.800831961204482,12.649820339682053
2021-05-02,16.358254963865544,17.762052234335414
2021-05-09,14.881194934453783,16.425963953273264
2021-05-16,15.312299010784313,16.265063462331636
2021-05-23,19.636616447759103,20.418104177968946
2021-05-30,18.667831382913164,19.878573127286668
2021-06-06,21.528236542016806,21.622666834456073
2021-06-13,23.528691658263305,23.68895318444598
2021-06-20,24.185676766106443,24.267888644996727
2021-06-27,23.31549120448179,23.468705858178627
2021-07-04,24.414073260504203,24.394456559784583
2021-07-11,24.528440585434172,24.69711195967318
2021-07-18,24.80257112464986,24.931982933548877
